task_idx,cam_strategy,cam_percentage,cam_resolution,cam_threshold,imbalanced_ratio,model_variant,cam_extraction_method,seen_acc,unseen_acc
0,top,25,"(7, 7)",,0.1,baseline,gradcam,25.8,25.8
1,top,25,"(7, 7)",,0.1,baseline,gradcam,26.5,26.5
2,top,25,"(7, 7)",,0.1,baseline,gradcam,31.25,31.25
3,top,25,"(7, 7)",,0.1,baseline,gradcam,32.7,32.7
4,top,25,"(7, 7)",,0.1,baseline,gradcam,27.3,26.1
0,top,25,"(7, 7)",,0.1,baseline,gradcam++,25.05,25.05
1,top,25,"(7, 7)",,0.1,baseline,gradcam++,24.75,24.75
2,top,25,"(7, 7)",,0.1,baseline,gradcam++,30.8,30.8
3,top,25,"(7, 7)",,0.1,baseline,gradcam++,27.6,27.6
4,top,25,"(7, 7)",,0.1,baseline,gradcam++,31.35,32.6
0,top,25,"(7, 7)",,0.1,baseline,scorecam,28.0,28.0
1,top,25,"(7, 7)",,0.1,baseline,scorecam,25.5,25.5
2,top,25,"(7, 7)",,0.1,baseline,scorecam,31.85,31.85
3,top,25,"(7, 7)",,0.1,baseline,scorecam,30.7,30.7
4,top,25,"(7, 7)",,0.1,baseline,scorecam,29.15,29.5
0,top,25,"(7, 7)",,0.1,baseline,gradcam,24.2,24.2
1,top,25,"(7, 7)",,0.1,baseline,gradcam,29.4,29.4
2,top,25,"(7, 7)",,0.1,baseline,gradcam,31.25,31.25
3,top,25,"(7, 7)",,0.1,baseline,gradcam,27.85,27.85
4,top,25,"(7, 7)",,0.1,baseline,gradcam,24.75,26.3
0,top,25,"(7, 7)",,0.1,baseline,gradcam++,25.9,25.9
1,top,25,"(7, 7)",,0.1,baseline,gradcam++,29.05,29.05
2,top,25,"(7, 7)",,0.1,baseline,gradcam++,30.9,30.9
3,top,25,"(7, 7)",,0.1,baseline,gradcam++,29.9,29.9
4,top,25,"(7, 7)",,0.1,baseline,gradcam++,27.05,21.0
0,top,25,"(7, 7)",,0.1,baseline,scorecam,24.95,24.95
1,top,25,"(7, 7)",,0.1,baseline,scorecam,28.75,28.75
2,top,25,"(7, 7)",,0.1,baseline,scorecam,26.2,26.2
3,top,25,"(7, 7)",,0.1,baseline,scorecam,32.25,32.25
4,top,25,"(7, 7)",,0.1,baseline,scorecam,29.6,25.0
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,23.55,23.55
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,30.95,30.95
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.6,27.6
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,30.6,30.6
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,31.65,30.3
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.35,26.35
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,27.1,27.1
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,30.1,30.1
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,34.8,34.8
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,27.1,23.4
0,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,25.4,25.4
1,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,28.65,28.65
2,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,29.55,29.55
3,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,33.6,33.6
4,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,24.4,22.8
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.7,27.7
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,28.2,28.2
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,29.25,29.25
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,31.3,31.3
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam,27.0,25.6
0,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.7,26.7
1,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,29.2,29.2
2,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,30.75,30.75
3,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,29.65,29.65
4,top,25,"(7, 7)",,0.1,deeper_conv,gradcam++,26.65,26.3
0,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,26.0,26.0
1,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,28.7,28.7
2,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,27.55,27.55
3,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,31.1,31.1
4,top,25,"(7, 7)",,0.1,deeper_conv,scorecam,30.15,31.4
0,top,25,"(7, 7)",,0.2,baseline,gradcam,33.7,33.7
1,top,25,"(7, 7)",,0.2,baseline,gradcam,37.05,37.05
2,top,25,"(7, 7)",,0.2,baseline,gradcam,35.95,35.95
3,top,25,"(7, 7)",,0.2,baseline,gradcam,40.7,40.7
4,top,25,"(7, 7)",,0.2,baseline,gradcam,39.5,42.5
0,top,25,"(7, 7)",,0.2,baseline,gradcam++,36.0,36.0
1,top,25,"(7, 7)",,0.2,baseline,gradcam++,38.05,38.05
2,top,25,"(7, 7)",,0.2,baseline,gradcam++,39.5,39.5
3,top,25,"(7, 7)",,0.2,baseline,gradcam++,40.1,40.1
4,top,25,"(7, 7)",,0.2,baseline,gradcam++,38.3,41.8
0,top,25,"(7, 7)",,0.2,baseline,scorecam,34.05,34.05
1,top,25,"(7, 7)",,0.2,baseline,scorecam,37.75,37.75
2,top,25,"(7, 7)",,0.2,baseline,scorecam,37.05,37.05
3,top,25,"(7, 7)",,0.2,baseline,scorecam,40.2,40.2
4,top,25,"(7, 7)",,0.2,baseline,scorecam,40.2,39.3
0,top,25,"(7, 7)",,0.2,baseline,gradcam,35.25,35.25
1,top,25,"(7, 7)",,0.2,baseline,gradcam,35.25,35.25
2,top,25,"(7, 7)",,0.2,baseline,gradcam,37.35,37.35
3,top,25,"(7, 7)",,0.2,baseline,gradcam,39.95,39.95
4,top,25,"(7, 7)",,0.2,baseline,gradcam,35.85,33.3
0,top,25,"(7, 7)",,0.2,baseline,gradcam++,33.4,33.4
1,top,25,"(7, 7)",,0.2,baseline,gradcam++,37.1,37.1
2,top,25,"(7, 7)",,0.2,baseline,gradcam++,39.8,39.8
3,top,25,"(7, 7)",,0.2,baseline,gradcam++,42.5,42.5
4,top,25,"(7, 7)",,0.2,baseline,gradcam++,38.35,37.3
0,top,25,"(7, 7)",,0.2,baseline,scorecam,32.5,32.5
1,top,25,"(7, 7)",,0.2,baseline,scorecam,36.25,36.25
2,top,25,"(7, 7)",,0.2,baseline,scorecam,38.65,38.65
3,top,25,"(7, 7)",,0.2,baseline,scorecam,40.85,40.85
4,top,25,"(7, 7)",,0.2,baseline,scorecam,37.05,32.9
0,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,34.85,34.85
1,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,34.8,34.8
2,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,38.2,38.2
3,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,40.7,40.7
4,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,39.75,42.1
0,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,32.1,32.1
1,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,35.65,35.65
2,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,34.95,34.95
3,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,39.8,39.8
4,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,37.1,36.4
0,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,35.3,35.3
1,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,33.15,33.15
2,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,36.25,36.25
3,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,40.15,40.15
4,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,38.45,39.8
0,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,33.65,33.65
1,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,37.65,37.65
2,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,37.95,37.95
3,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,39.75,39.75
4,top,25,"(7, 7)",,0.2,deeper_conv,gradcam,37.75,35.0
0,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,35.4,35.4
1,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,37.5,37.5
2,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,38.0,38.0
3,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,38.2,38.2
4,top,25,"(7, 7)",,0.2,deeper_conv,gradcam++,40.55,39.4
0,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,34.1,34.1
1,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,35.05,35.05
2,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,35.25,35.25
3,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,40.5,40.5
4,top,25,"(7, 7)",,0.2,deeper_conv,scorecam,38.8,33.1
0,top,25,"(7, 7)",,0.5,baseline,gradcam,46.2,46.2
1,top,25,"(7, 7)",,0.5,baseline,gradcam,50.35,50.35
2,top,25,"(7, 7)",,0.5,baseline,gradcam,46.75,46.75
3,top,25,"(7, 7)",,0.5,baseline,gradcam,50.1,50.1
4,top,25,"(7, 7)",,0.5,baseline,gradcam,50.3,49.8
0,top,25,"(7, 7)",,0.5,baseline,gradcam++,47.05,47.05
1,top,25,"(7, 7)",,0.5,baseline,gradcam++,49.6,49.6
2,top,25,"(7, 7)",,0.5,baseline,gradcam++,48.05,48.05
3,top,25,"(7, 7)",,0.5,baseline,gradcam++,48.65,48.65
4,top,25,"(7, 7)",,0.5,baseline,gradcam++,48.3,44.1
0,top,25,"(7, 7)",,0.5,baseline,scorecam,47.3,47.3
1,top,25,"(7, 7)",,0.5,baseline,scorecam,51.05,51.05
2,top,25,"(7, 7)",,0.5,baseline,scorecam,49.65,49.65
3,top,25,"(7, 7)",,0.5,baseline,scorecam,48.8,48.8
4,top,25,"(7, 7)",,0.5,baseline,scorecam,48.6,47.6
0,top,25,"(7, 7)",,0.5,baseline,gradcam,44.35,44.35
1,top,25,"(7, 7)",,0.5,baseline,gradcam,50.95,50.95
2,top,25,"(7, 7)",,0.5,baseline,gradcam,49.05,49.05
3,top,25,"(7, 7)",,0.5,baseline,gradcam,47.2,47.2
4,top,25,"(7, 7)",,0.5,baseline,gradcam,48.75,45.8
0,top,25,"(7, 7)",,0.5,baseline,gradcam++,46.8,46.8
1,top,25,"(7, 7)",,0.5,baseline,gradcam++,50.9,50.9
2,top,25,"(7, 7)",,0.5,baseline,gradcam++,49.0,49.0
3,top,25,"(7, 7)",,0.5,baseline,gradcam++,50.45,50.45
4,top,25,"(7, 7)",,0.5,baseline,gradcam++,50.8,48.6
0,top,25,"(7, 7)",,0.5,baseline,scorecam,45.0,45.0
1,top,25,"(7, 7)",,0.5,baseline,scorecam,49.5,49.5
2,top,25,"(7, 7)",,0.5,baseline,scorecam,51.4,51.4
3,top,25,"(7, 7)",,0.5,baseline,scorecam,47.3,47.3
4,top,25,"(7, 7)",,0.5,baseline,scorecam,49.9,48.5
0,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,45.15,45.15
1,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,49.8,49.8
2,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,50.15,50.15
3,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,50.15,50.15
4,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,49.3,51.2
0,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,43.95,43.95
1,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,49.45,49.45
2,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,47.2,47.2
3,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,49.2,49.2
4,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,49.1,48.1
0,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,44.8,44.8
1,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,50.5,50.5
2,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,50.0,50.0
3,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,49.6,49.6
4,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,48.45,49.8
0,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,45.55,45.55
1,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,48.95,48.95
2,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,46.8,46.8
3,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,48.7,48.7
4,top,25,"(7, 7)",,0.5,deeper_conv,gradcam,47.55,48.1
0,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,45.2,45.2
1,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,50.25,50.25
2,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,49.85,49.85
3,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,49.6,49.6
4,top,25,"(7, 7)",,0.5,deeper_conv,gradcam++,51.7,50.6
0,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,43.75,43.75
1,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,50.55,50.55
2,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,47.15,47.15
3,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,47.35,47.35
4,top,25,"(7, 7)",,0.5,deeper_conv,scorecam,48.5,45.9
0,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,25.0,25.0
1,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,21.95,21.95
2,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,30.1,30.1
3,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,33.3,33.3
4,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,26.9,34.0
0,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,24.1,24.1
1,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,29.25,29.25
2,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,27.3,27.3
3,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,33.25,33.25
4,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,26.15,24.4
0,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,26.2,26.2
1,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,28.4,28.4
2,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,29.25,29.25
3,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,27.35,27.35
4,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,28.4,28.4
0,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,22.35,22.35
1,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,28.0,28.0
2,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,27.9,27.9
3,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,32.4,32.4
4,top,25,"(7, 7)",0.3,0.1,baseline,gradcam,30.6,30.1
0,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,26.4,26.4
1,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,26.85,26.85
2,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,30.75,30.75
3,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,31.3,31.3
4,top,25,"(7, 7)",0.3,0.1,baseline,gradcam++,29.75,26.5
0,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,28.65,28.65
1,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,26.55,26.55
2,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,28.5,28.5
3,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,32.15,32.15
4,top,25,"(7, 7)",0.3,0.1,baseline,scorecam,29.8,29.3
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,27.2,27.2
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,26.75,26.75
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,30.2,30.2
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,33.25,33.25
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,28.4,30.5
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,25.8,25.8
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,30.05,30.05
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,25.45,25.45
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,32.2,32.2
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,27.3,27.9
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,23.6,23.6
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,26.8,26.8
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,31.95,31.95
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,34.25,34.25
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,31.5,40.2
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,26.9,26.9
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,30.1,30.1
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,30.25,30.25
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,30.9,30.9
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam,28.3,24.5
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,27.5,27.5
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,27.65,27.65
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,29.45,29.45
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,27.25,27.25
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,gradcam++,33.0,29.4
0,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,24.8,24.8
1,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,28.45,28.45
2,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,29.8,29.8
3,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,31.9,31.9
4,top,25,"(7, 7)",0.3,0.1,deeper_conv,scorecam,27.6,30.6
0,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,34.5,34.5
1,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,38.4,38.4
2,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,39.4,39.4
3,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,41.7,41.7
4,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,35.35,31.9
0,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,35.0,35.0
1,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,38.75,38.75
2,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,37.75,37.75
3,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,42.6,42.6
4,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,38.75,42.0
0,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,33.55,33.55
1,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,38.45,38.45
2,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,35.65,35.65
3,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,37.4,37.4
4,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,39.6,40.1
0,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,32.65,32.65
1,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,36.3,36.3
2,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,35.1,35.1
3,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,38.5,38.5
4,top,25,"(7, 7)",0.3,0.2,baseline,gradcam,38.6,40.1
0,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,35.8,35.8
1,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,37.95,37.95
2,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,38.65,38.65
3,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,38.4,38.4
4,top,25,"(7, 7)",0.3,0.2,baseline,gradcam++,37.45,39.3
0,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,33.85,33.85
1,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,37.15,37.15
2,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,38.0,38.0
3,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,41.2,41.2
4,top,25,"(7, 7)",0.3,0.2,baseline,scorecam,39.3,38.9
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,35.3,35.3
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,37.15,37.15
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,36.0,36.0
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,42.15,42.15
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,38.1,37.3
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,32.45,32.45
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,33.5,33.5
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,35.9,35.9
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,36.4,36.4
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,36.75,35.9
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,36.05,36.05
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,36.5,36.5
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,35.35,35.35
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,39.1,39.1
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,36.85,37.5
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,35.25,35.25
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,36.75,36.75
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,37.9,37.9
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,39.65,39.65
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam,37.6,38.7
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,32.25,32.25
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,37.25,37.25
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,38.45,38.45
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,40.6,40.6
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,gradcam++,39.05,35.1
0,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,33.0,33.0
1,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,37.25,37.25
2,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,38.9,38.9
3,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,37.55,37.55
4,top,25,"(7, 7)",0.3,0.2,deeper_conv,scorecam,36.6,35.6
0,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,47.0,47.0
1,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,48.2,48.2
2,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,49.1,49.1
3,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,50.05,50.05
4,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,48.55,53.7
0,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,43.8,43.8
1,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,49.85,49.85
2,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,50.35,50.35
3,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,49.55,49.55
4,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,50.7,54.9
0,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,45.0,45.0
1,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,50.95,50.95
2,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,50.35,50.35
3,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,49.8,49.8
4,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,49.5,51.1
0,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,43.7,43.7
1,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,49.45,49.45
2,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,47.05,47.05
3,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,50.4,50.4
4,top,25,"(7, 7)",0.3,0.5,baseline,gradcam,50.35,51.5
0,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,45.4,45.4
1,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,50.95,50.95
2,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,46.8,46.8
3,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,50.65,50.65
4,top,25,"(7, 7)",0.3,0.5,baseline,gradcam++,50.2,50.5
0,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,47.75,47.75
1,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,50.65,50.65
2,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,49.2,49.2
3,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,49.3,49.3
4,top,25,"(7, 7)",0.3,0.5,baseline,scorecam,48.25,44.0
0,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,46.8,46.8
1,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,50.35,50.35
2,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,45.3,45.3
3,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,49.2,49.2
4,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,50.45,48.1
0,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,46.9,46.9
1,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,49.55,49.55
2,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,50.95,50.95
3,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,49.95,49.95
4,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,50.15,50.1
0,top,25,"(7, 7)",0.3,0.5,deeper_conv,scorecam,45.9,45.9
1,top,25,"(7, 7)",0.3,0.5,deeper_conv,scorecam,50.25,50.25
2,top,25,"(7, 7)",0.3,0.5,deeper_conv,scorecam,49.05,49.05
3,top,25,"(7, 7)",0.3,0.5,deeper_conv,scorecam,50.1,50.1
4,top,25,"(7, 7)",0.3,0.5,deeper_conv,scorecam,48.8,53.7
0,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,46.5,46.5
1,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,51.5,51.5
2,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,50.7,50.7
3,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,48.1,48.1
4,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam,49.2,49.9
0,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,46.45,46.45
1,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,49.6,49.6
2,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,48.9,48.9
3,top,25,"(7, 7)",0.3,0.5,deeper_conv,gradcam++,51.3,51.3
